level,year,version,code,name,canton,originCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitingMin,rollingPct,dwellPct,transferPct,cellsWithDemand,pathsWithDemand
municipality,2026,v0,3561,Poschiavo,GR,8,1608.697637,49.674962,45.674987,3.904929,0.095047,31.319716,91.947703,7.86096,0.191338,1896,3511
station,2026,v0,Alpiglen,Alpiglen,BE,1,61.49347,20.463402,17.785911,1.457823,1.219668,14.852951,86.915706,7.124052,5.960242,1136,4026
municipality,2026,v0,576,Grindelwald,BE,7,688.506592,31.054547,25.252065,4.098231,1.704252,15.528973,81.315193,13.196878,5.48793,9344,32084
station,2026,v0,Alpnach Dorf,Alpnach Dorf,OW,1,854.507839,21.951269,18.339108,2.238979,1.373182,15.14241,83.544636,10.199772,6.255592,1427,3955
canton,2026,v0,OW,OW,OW,11,6953.001409,31.795917,27.498131,2.795012,1.502775,18.124047,86.483214,8.790473,4.726313,15314,40254
municipality,2026,v0,1401,Alpnach,OW,2,1246.581202,20.745593,17.346838,2.013885,1.384869,15.179385,83.616982,9.707531,6.675487,2802,7800
station,2026,v0,Alpnachstad,Alpnachstad,OW,1,392.073362,18.117871,15.184229,1.5233,1.410342,15.25997,83.808019,8.407723,7.784258,1375,3845
station,2026,v0,Altdorf UR,Altdorf UR,UR,1,1113.711181,40.476307,35.156488,3.035463,2.284356,18.279357,86.856955,7.499358,5.643687,1506,4867
canton,2026,v0,UR,UR,UR,10,5916.223184,31.234521,27.860439,1.907019,1.467063,21.908173,89.197587,6.105484,4.696929,11850,30692
municipality,2026,v0,1201,Altdorf (UR),UR,1,1113.711181,40.476307,35.156488,3.035463,2.284356,18.279357,86.856955,7.499358,5.643687,1506,4867
station,2026,v0,Altendorf,Altendorf,SZ,1,422.435694,25.711463,20.634109,2.433789,2.643565,14.477906,80.252566,9.465775,10.281659,1428,5002
canton,2026,v0,SZ,SZ,SZ,33,28091.540798,33.917336,28.522912,2.405857,2.988567,13.471936,84.095378,7.093296,8.811326,43146,135725
municipality,2026,v0,1341,Altendorf,SZ,1,422.435694,25.711463,20.634109,2.433789,2.643565,14.477906,80.252566,9.465775,10.281659,1428,5002
station,2026,v0,Altmatt,Altmatt,SZ,1,24.637155,35.019057,26.523189,1.396969,7.098899,26.108798,75.739301,3.989167,20.271532,1141,3499
municipality,2026,v0,1370,Rothenthurm,SZ,3,351.046038,37.847029,30.264454,2.112161,5.470415,19.180207,79.965203,5.580783,14.454014,3644,11870
station,2026,v0,Altnau,Altnau,TG,1,192.140025,32.059404,26.579078,3.250598,2.229727,15.094454,82.905716,10.139297,6.954987,1363,4320
municipality,2026,v0,4641,Altnau,TG,1,192.140025,32.059404,26.579078,3.250598,2.229727,15.094454,82.905716,10.139297,6.954987,1363,4320
station,2026,v0,Altstätten SG,Altstätten SG,SG,1,1562.813165,34.419938,30.939561,1.9238,1.556578,12.65147,89.888485,5.589201,4.522314,1485,5360
canton,2026,v0,SG,SG,SG,73,98358.942026,30.468556,26.079848,2.180571,2.208137,12.342574,85.595946,7.15679,7.247264,101871,341175
municipality,2026,v0,3251,Altstätten,SG,1,1562.813165,34.419938,30.939561,1.9238,1.556578,12.65147,89.888485,5.589201,4.522314,1485,5360
station,2026,v0,Ambrì-Piotta,Ambrì-Piotta,TI,1,140.510421,38.157427,35.056624,2.007143,1.093661,29.288353,91.873657,5.260162,2.866181,1210,2415
municipality,2026,v0,5079,Quinto,TI,1,140.510421,38.157427,35.056624,2.007143,1.093661,29.288353,91.873657,5.260162,2.866181,1210,2415
station,2026,v0,Amriswil,Amriswil,TG,1,1608.097436,31.389638,26.522451,2.157311,2.709876,11.994172,84.494287,6.872684,8.633029,1504,4803
municipality,2026,v0,4461,Amriswil,TG,2,1699.085682,31.075977,26.211038,2.131219,2.73372,12.161345,84.345017,6.858091,8.796892,2839,9000
station,2026,v0,Andelfingen,Andelfingen,ZH,1,1312.919598,29.283848,23.463612,2.097388,3.722848,11.65608,80.124758,7.162268,12.712974,1519,5552
municipality,2026,v0,291,Andelfingen,ZH,1,1312.919598,29.283848,23.463612,2.097388,3.722848,11.65608,80.124758,7.162268,12.712974,1519,5552
