code,name,canton,fromValue,fromWeight,toValue,toWeight,deltaMin,deltaLabel,window,fromYear,toYear,level,metric,weightMode
ZG-1701,Baar,ZG,5.250461538461538,130.0,5.323307692307692,130.0,0.07284615384615378,+4 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZG-1711,Zug,ZG,5.375307692307692,130.0,5.301769230769231,130.0,-0.07353846153846177,-4 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-141,Thalwil,ZH,4.727999999999999,130.0,4.844230769230769,130.0,0.11623076923077047,+7 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-230,Winterthur,ZH,8.78069230769231,130.0,8.687461538461537,130.0,-0.09323076923077167,-6 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-243,Dietikon,ZH,5.743384615384615,130.0,5.8483846153846155,130.0,0.10500000000000043,+6 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-261,Zürich,ZH,4.634948717948718,390.0,4.769794871794871,390.0,0.13484615384615317,+8 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-291,Andelfingen,ZH,9.74423076923077,130.0,9.633384615384614,130.0,-0.11084615384615581,-7 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-293,Wädenswil,ZH,5.464153846153846,130.0,5.841615384615384,130.0,0.37746153846153785,+23 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-53,Bülach,ZH,4.522769230769231,130.0,5.374461538461539,130.0,0.851692307692308,+51 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
ZH-62,Kloten,ZH,7.740538461538462,130.0,7.782615384615385,130.0,0.04207692307692312,+3 s,2011-2014,2011,2014 Q1/2,municipality,avgDwellMin,unweighted
AG-4001,Aarau,AG,5.596230769230769,130.0,4.586846153846153,130.0,-1.009384615384616,-1 min 1 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4021,Baden,AG,6.92226923076923,260.0,6.265500000000001,260.0,-0.6567692307692292,-39 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4045,Wettingen,AG,7.912230769230771,130.0,7.299153846153846,130.0,-0.6130769230769246,-37 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4095,Brugg,AG,6.063692307692308,130.0,5.704461538461538,130.0,-0.3592307692307699,-22 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4163,Frick,AG,7.383846153846154,130.0,7.004384615384616,130.0,-0.37946153846153763,-23 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4201,Lenzburg,AG,4.705000000000001,130.0,4.266384615384616,130.0,-0.4386153846153853,-26 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4258,Rheinfelden,AG,8.125461538461538,130.0,7.776923076923077,130.0,-0.34853846153846124,-21 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AG-4289,Zofingen,AG,4.646230769230769,130.0,4.290846153846154,130.0,-0.3553846153846152,-21 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
AR-3001,Herisau,AR,11.12876923076923,130.0,10.877692307692307,130.0,-0.25107692307692275,-15 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-306,Lyss,BE,4.09023076923077,130.0,4.183153846153846,130.0,0.09292307692307578,+6 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-329,Langenthal,BE,5.975076923076923,130.0,5.662307692307693,130.0,-0.3127692307692298,-19 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-351,Bern,BE,3.976769230769231,130.0,4.040846153846154,130.0,0.06407692307692292,+4 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-371,Biel/Bienne,BE,7.6767692307692315,130.0,7.228307692307693,130.0,-0.44846153846153847,-27 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-404,Burgdorf,BE,6.256384615384616,130.0,5.842615384615384,130.0,-0.41376923076923156,-25 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-434,Courtelary,BE,8.217615384615385,130.0,8.193846153846152,130.0,-0.023769230769232763,-1 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-443,Saint-Imier,BE,8.947461538461539,130.0,9.101,130.0,0.15353846153846185,+9 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-444,Sonceboz-Sombeval,BE,7.447769230769231,130.0,7.242076923076923,130.0,-0.20569230769230806,-12 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-496,Ins,BE,5.3703076923076924,130.0,5.747538461538462,130.0,0.3772307692307697,+23 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-533,Bätterkinden,BE,5.180769230769231,130.0,4.8076923076923075,130.0,-0.37307692307692353,-22 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-538,Fraubrunnen,BE,4.037076923076923,130.0,4.103923076923077,130.0,0.06684615384615356,+4 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-540,Jegenstorf,BE,4.013076923076923,130.0,4.053846153846154,130.0,0.04076923076923045,+2 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-563,Frutigen,BE,12.675692307692309,130.0,12.768307692307694,130.0,0.09261538461538521,+6 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-565,Kandersteg,BE,14.555846153846154,130.0,14.676,130.0,0.12015384615384583,+7 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-573,Brienz (BE),BE,12.685846153846153,130.0,12.438461538461539,130.0,-0.24738461538461465,-15 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-581,Interlaken,BE,10.538653846153847,260.0,10.446807692307692,260.0,-0.09184615384615569,-6 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-612,Konolfingen,BE,3.992153846153846,130.0,4.0515384615384615,130.0,0.05938461538461537,+4 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
BE-768,Spiez,BE,7.066230769230769,130.0,7.222307692307691,130.0,0.1560769230769221,+9 s,Zürich HB Löwenstrasse,2014 Q1/2,2016,municipality,avgDwellMin,unweighted
