level,weightMode,year,yearNum,code,name,canton,originCount,odCellCount,totalWeight,avgTotalMin,avgRollingMin,avgDwellMin,avgTransferMin,avgWaitMin,avgTotalPlusWaitMin,rollingPct,dwellPct,transferPct,rollingPassengerMinDay,dwellPassengerMinDay,transferPassengerMinDay,waitPassengerMinDay
municipality,unweighted,2024,2024.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,137.05569230769228,112.58115384615384,5.401461538461539,19.073076923076922,18.48338461538461,155.5390769230769,82.14263264119472,3.9410705586274877,13.916296800177808,,,,
municipality,unweighted,2025,2025.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,134.04,109.08192307692308,4.929538461538461,20.02853846153846,17.45130769230769,151.49130769230769,81.3801276312467,3.6776622363014484,14.942210132451851,,,,
municipality,unweighted,2026,2026.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,134.73423076923078,109.72553846153846,4.983769230769232,20.024923076923077,17.618769230769228,152.353,81.43850143730249,3.698962915597373,14.862535647100131,,,,
municipality,unweighted,2035,2035.0,SH-2937,Neuhausen am Rheinfall,SH,1,130,130.0,129.98407692307694,107.01776923076925,7.267,15.699307692307691,16.056384615384616,146.04046153846156,82.3314453308778,5.590684776182645,12.077869892939546,,,,
municipality,unweighted,1982,1982.0,SH-2939,Schaffhausen,SH,1,130,130.0,152.7453846153846,118.74715384615385,7.611076923076923,26.387153846153847,34.583000000000006,187.3283846153846,77.7418932461764,4.982852308265641,17.27525444555797,,,,
municipality,unweighted,2002,2002.0,SH-2939,Schaffhausen,SH,1,130,130.0,147.1083076923077,114.52761538461539,7.677846153846154,24.902846153846152,28.936153846153843,176.04446153846155,77.85258166667363,5.219179170971885,16.928239162354476,,,,
municipality,unweighted,2005,2005.0,SH-2939,Schaffhausen,SH,1,130,130.0,138.7873076923077,110.89961538461539,6.326692307692307,21.561000000000003,27.446538461538463,166.23384615384617,79.90616521683705,4.558552516717611,15.535282266445337,,,,
municipality,unweighted,2008,2008.0,SH-2939,Schaffhausen,SH,1,130,130.0,137.60984615384615,112.06184615384615,6.451153846153846,19.096846153846155,25.252076923076924,162.86192307692306,81.43446801659988,4.688003094590727,13.877528888809389,,,,
municipality,unweighted,2009,2009.0,SH-2939,Schaffhausen,SH,1,130,130.0,136.9046923076923,111.00846153846153,6.342076923076923,19.554153846153845,25.62376923076923,162.52846153846153,81.08448269177715,4.632475933566361,14.283041374656484,,,,
municipality,unweighted,2011,2011.0,SH-2939,Schaffhausen,SH,1,130,130.0,136.87961538461536,110.61876923076922,6.301692307692308,19.95915384615385,25.554923076923075,162.43453846153844,80.81464060221363,4.603820875727409,14.581538522058972,,,,
municipality,unweighted,2012,2012.0,SH-2939,Schaffhausen,SH,1,130,130.0,136.86599999999999,110.412,7.099307692307692,19.354692307692304,25.484461538461535,162.35046153846153,80.67160580421728,5.1870498825915075,14.141344313191228,,,,
municipality,unweighted,2013,2013.0,SH-2939,Schaffhausen,SH,1,130,130.0,129.10484615384615,107.48430769230768,5.274384615384616,16.346153846153847,21.03538461538461,150.14023076923075,83.25350356269769,4.085349831949346,12.661146605352956,,,,
municipality,unweighted,2014 Q1/2,2014.0,SH-2939,Schaffhausen,SH,1,130,130.0,129.07330769230768,106.825,4.975230769230769,17.273076923076925,20.92907692307692,150.00238461538459,82.76304521044392,3.8545775716006347,13.382377217955451,,,,
municipality,unweighted,2014 Q3/4,2014.5,SH-2939,Schaffhausen,SH,1,130,130.0,129.136,106.9263846153846,4.914230769230769,17.295384615384613,20.737153846153845,149.87315384615385,82.80137577080335,3.805469248877748,13.393154980318899,,,,
municipality,unweighted,2015,2015.0,SH-2939,Schaffhausen,SH,1,130,130.0,128.98953846153844,106.9606923076923,4.857769230769231,17.17107692307692,20.928999999999995,149.91853846153845,82.92199009579787,3.7660179954963557,13.311991908705775,,,,
municipality,unweighted,2016,2016.0,SH-2939,Schaffhausen,SH,1,130,130.0,129.71853846153846,107.536,5.649,16.533538461538463,20.254999999999995,149.97353846153845,82.89948474240975,4.3548131724247945,12.745702085165457,,,,
municipality,unweighted,2017,2017.0,SH-2939,Schaffhausen,SH,1,130,130.0,128.90584615384614,106.66876923076923,5.537923076923077,16.69915384615385,20.312615384615384,149.21846153846153,82.74936507027193,4.2960992399938895,12.954535689734193,,,,
municipality,unweighted,2018,2018.0,SH-2939,Schaffhausen,SH,1,130,130.0,129.3213846153846,106.88430769230769,5.443538461538461,16.99353846153846,20.316230769230767,149.63761538461537,82.65014174584726,4.209310376414633,13.14054787773811,,,,
municipality,unweighted,2019,2019.0,SH-2939,Schaffhausen,SH,1,130,130.0,126.08215384615386,105.32323076923078,4.882846153846153,15.876076923076923,20.605615384615387,146.68776923076925,83.53539938550445,3.872749635768619,12.591850978726933,,,,
municipality,unweighted,2020,2020.0,SH-2939,Schaffhausen,SH,1,130,130.0,126.94030769230768,105.97976923076922,5.259461538461538,15.701076923076922,20.374846153846157,147.31515384615383,83.48787800928844,4.143255703468135,12.368866287243428,,,,
municipality,unweighted,2021,2021.0,SH-2939,Schaffhausen,SH,1,130,130.0,125.3536923076923,104.78430769230769,4.730769230769231,15.838615384615384,20.178384615384616,145.53207692307691,83.5909224238125,3.773936885047724,12.635140691139778,,,,
municipality,unweighted,2022,2022.0,SH-2939,Schaffhausen,SH,1,130,130.0,125.15730769230768,104.70092307692308,4.699692307692308,15.756692307692306,19.927692307692308,145.08499999999998,83.65546128103404,3.75502828747822,12.589510431487758,,,,
municipality,unweighted,2023,2023.0,SH-2939,Schaffhausen,SH,1,130,130.0,124.78838461538462,104.62415384615385,4.727769230769231,15.436461538461536,19.711769230769228,144.50015384615384,83.8412598805732,3.7886292424899013,12.370110876936891,,,,
